�������,"���, �","���, �","���, �","���, ����",
Аньолотти,"
10.0 ","
1.1 ","
71.5 ","
344 "
Баветте,"
11.0 ","
1.3 ","
70.5 ","
351 "
Блинчики Ермолино с печенью Мамины,"
8.0 ","
15.0 ","
33.0 ","
299 "
Блинчики Морозко сладкие с вишней,"
3.5 ","
4.5 ","
32.0 ","
180 "
Блинчики Морозко сладкие с творогом,"
7.2 ","
6.0 ","
27.4 ","
192 "
Блинчики Морозко сытные с мясом,"
7.2 ","
10.7 ","
23.3 ","
218 "
Блинчики Останкино с мясом,"
8.0 ","
11.0 ","
33.0 ","
270 "
Блинчики Останкино с печенью,"
8.0 ","
10.0 ","
33.0 ","
260 "
Блины,"
6.1 ","
12.3 ","
26.0 ","
233 "
Блины с ветчиной,"
8.9 ","
13.5 ","
33.9 ","
292 "
Блины с ветчиной и сыром,"
14.3 ","
20.2 ","
35.3 ","
382 "
Блины с грибами,"
6.7 ","
9.9 ","
21.0 ","
218 "
Блины с красной икрой,"
12.7 ","
15.2 ","
33.7 ","
324 "
Блины с маслом,"
8.0 ","
15.2 ","
40.6 ","
332 "
Блины с мёдом,"
7.2 ","
13.5 ","
50.4 ","
350 "
Блины с сёмгой,"
11.2 ","
14.9 ","
33.8 ","
313 "
Блины с сыром,"
11.4 ","
18.3 ","
34.3 ","
348 "
Блины со сгущеным молоком,"
8.1 ","
12.4 ","
41.7 ","
324 "
Блины со сметаной,"
7.1 ","
16.3 ","
34.3 ","
311 "
Бораки,"
13.7 ","
12.0 ","
30.7 ","
277 "
Букатини,"
12.0 ","
1.2 ","
71.0 ","
350 "
Вареники от Ильиной с вишней,"
7.6 ","
0.0 ","
18.7 ","
105 "
Вареники от Ильиной с картофелем,"
4.4 ","
3.7 ","
18.5 ","
125 "
Вареники от Ильиной с клубникой,"
7.9 ","
0.0 ","
17.6 ","
205 "
Вареники от Ильиной с творогом,"
12.0 ","
4.2 ","
17.0 ","
154 "
Вареники от Ильиной с черникой,"
7.6 ","
0.0 ","
18.7 ","
105 "
Вареники Хвалынские с картошкой и грибами,"
6.0 ","
3.6 ","
32.0 ","
184 "
Вермишель Lorenzo суповая,"
10.0 ","
1.0 ","
72.0 ","
340 "
Вермишель Makfa яичная длинная,"
11.3 ","
2.1 ","
69.6 ","
342 "
Вермишель Myllyn Paras,"
10.4 ","
1.1 ","
71.5 ","
344 "
Вермишель SanBonsai из чёрного риса,"
7.3 ","
0.9 ","
78.0 ","
349 "
Вермишель Бефстроганов соевая,"
48.9 ","
2.3 ","
8.9 ","
254 "
Вермишель Роллтон на домашнем бульоне с говядиной,"
8.7 ","
21.1 ","
56.7 ","
452 "
Вермишель Роллтон №21,"
10.4 ","
1.1 ","
71.5 ","
344 "
Дамплинги Bibigo Королевские с курицей и овощами,"
8.7 ","
4.7 ","
17.7 ","
143 "
Зити,"
12.0 ","
1.2 ","
71.0 ","
330 "
Капеллини,"
13.0 ","
1.5 ","
70.2 ","
346 "
Клецки,"
5.0 ","
4.8 ","
25.8 ","
160 "
Конкильони,"
10.4 ","
1.1 ","
71.5 ","
344 "
Лапша Buitoni La Rasagnole Феттучине,"
13.5 ","
4.0 ","
69.0 ","
370 "
Лапша Buitoni Тальятелле Гнезда,"
13.5 ","
4.0 ","
69.0 ","
370 "
Лапша Buitoni Феттучине Гнезда,"
11.5 ","
1.9 ","
71.8 ","
350 "
Лапша Midori рисовая крупная,"
0.1 ","
1.2 ","
84.9 ","
330 "
Лапша SanBonsai гречневая Soba,"
10.0 ","
0.5 ","
62.0 ","
294 "
Лапша SanBonsai пшеничная Udon,"
12.0 ","
1.0 ","
65.0 ","
358 "
Лапша SanBonsai яичная Egg,"
9.0 ","
15.0 ","
68.0 ","
440 "
Лапша SOBA гречневая,"
14.7 ","
0.9 ","
70.5 ","
348 "
Лапша ВкусВилл с куркумой,"
10.4 ","
1.1 ","
71.5 ","
334 "
