�������,"���, �","���, �","���, �","���, ����",
Ангурия (Антильский огурец),"
1.8 ","
1.3 ","
7.6 ","
44 "
Арракача,"
0.9 ","
0.1 ","
17.1 ","
60 "
Артишок,"
1.2 ","
0.1 ","
6.0 ","
28 "
Артишоки Federici гриль в подсолнечном масле,"
1.5 ","
47.2 ","
5.2 ","
456 "
Ассорти Бондюэль из сладкого перца,"
1.1 ","
0.2 ","
4.8 ","
25 "
Ассорти Бондюэль из фасоли с ананасами в соусе Карри,"
3.8 ","
1.1 ","
9.3 ","
62 "
"Ассорти Бондюэль из цветной капусты, романеско и брокколи","
1.8 ","
2.7 ","
8.6 ","
66 "
Ассорти МеленЪ Кабачки Черри Огурцы маринованные,"
0.0 ","
0.0 ","
4.0 ","
15 "
Ассорти МеленЪ Патиссоны Черри Огурцы маринованные,"
0.0 ","
0.0 ","
4.0 ","
15 "
Баклажан,"
1.2 ","
0.1 ","
4.5 ","
24 "
Баклажан белый,"
1.2 ","
0.1 ","
4.6 ","
24 "
Баклажан замороженный,"
1.3 ","
0.1 ","
5.2 ","
27 "
Баклажан консервированный,"
0.9 ","
0.7 ","
7.3 ","
49 "
Баклажанная икра консервированная,"
1.7 ","
13.3 ","
5.1 ","
148 "
Баклажанная икра свежая,"
0.6 ","
7.0 ","
6.0 ","
90 "
Баклажаны 4 сезона запечённые порционные,"
2.1 ","
0.2 ","
8.9 ","
48 "
Баклажаны 4 сезона нарезанные,"
1.3 ","
0.1 ","
5.2 ","
27 "
Бамбук листья,"
2.0 ","
0.0 ","
4.0 ","
32 "
Бамбук побеги вареные,"
1.5 ","
0.2 ","
0.9 ","
12 "
Бамбук побеги консервированные,"
1.7 ","
0.4 ","
1.8 ","
19 "
Бамбук побеги сырые,"
2.6 ","
0.3 ","
3.0 ","
27 "
Бамия,"
2.0 ","
0.1 ","
3.8 ","
25 "
Бамия 4 сезона,"
0.2 ","
0.1 ","
8.0 ","
23 "
Бедренец камнеломка,"
0.0 ","
0.0 ","
0.0 ","
"
Бессмертник,"
0.2 ","
0.0 ","
5.0 ","
27 "
Бобы,"
6.0 ","
0.1 ","
8.5 ","
57 "
Бобы зелёные,"
6.0 ","
0.1 ","
10.5 ","
60 "
Бобы Эдамамэ,"
13.0 ","
6.2 ","
11.1 ","
147 "
Бобы Эдамамэ зелёные замороженные,"
13.1 ","
4.6 ","
14.0 ","
150 "
Брюква,"
1.2 ","
0.1 ","
7.7 ","
37 "
Брюква запечённая,"
2.1 ","
1.6 ","
7.5 ","
51 "
Брюква тушеная,"
1.2 ","
8.5 ","
8.6 ","
114 "
Вигна,"
3.0 ","
0.4 ","
18.8 ","
90 "
Горох варёный,"
6.0 ","
0.0 ","
9.0 ","
60 "
Горох лущеный,"
23.0 ","
1.6 ","
57.7 ","
323 "
Горох маш,"
23.5 ","
2.0 ","
46.0 ","
300 "
Горох маш (ростки),"
3.1 ","
0.2 ","
6.0 ","
30 "
Горох сушёный,"
20.5 ","
2.0 ","
53.3 ","
298 "
Горошек зелёный,"
5.0 ","
0.2 ","
13.8 ","
73 "
Горошек зелёный 4 сезона,"
5.1 ","
0.2 ","
13.1 ","
75 "
Горошек зелёный 6 соток,"
3.1 ","
0.0 ","
6.5 ","
38 "
Горошек зелёный Globus,"
5.5 ","
0.7 ","
7.4 ","
74 "
Горошек зелёный Hortex,"
6.4 ","
0.4 ","
10.5 ","
83 "
Горошек зелёный Бондюэль замороженный,"
6.9 ","
0.4 ","
19.4 ","
85 "
Горошек зелёный Бондюэль Нежный,"
4.8 ","
0.2 ","
7.5 ","
52 "
Горошек зелёный Бондюэль с молодой морковью,"
3.3 ","
0.5 ","
9.3 ","
54 "
Горошек зелёный Бондюэль с морковью в кубиках,"
3.0 ","
0.2 ","
10.0 ","
53 "
Горошек зелёный замороженный,"
6.4 ","
0.4 ","
16.3 ","
72 "
Горошек зелёный Каждый день замороженный,"
5.0 ","
0.2 ","
8.5 ","
55 "
Горошек зелёный консервированный,"
3.6 ","
0.1 ","
9.8 ","
55 "
Горошек зелёный стручковый,"
5.0 ","
0.2 ","
8.3 ","
55 "
Гулявник лекарственный,"
0.3 ","
0.0 ","
5.0 ","
21 "
Дайкон,"
1.2 ","
0.0 ","
4.1 ","
21 "
Девясил,"
2.9 ","
0.0 ","
0.2 ","
15 "
Драники картофельные Зимняя радуга Белорусские замороженные,"
1.9 ","
0.4 ","
16.9 ","
79 "
Закусочка Дядя Ваня Венгерская,"
5.0 ","
5.5 ","
3.0 ","
82 "
Зелень,"
2.6 ","
0.4 ","
5.2 ","
36 "
Зразы картофельные от Ильиной с грибами,"
2.0 ","
1.0 ","
13.0 ","
70 "
Зразы картофельные от Ильиной с капустой,"
3.3 ","
3.9 ","
15.0 ","
108 "
Кабачки 4 сезона нарезанные,"
0.6 ","
0.3 ","
5.3 ","
26 "
Кабачковая икра,"
1.2 ","
7.0 ","
7.4 ","
97 "
Кабачок,"
0.6 ","
0.3 ","
4.6 ","
24 "
Кабачок жареный,"
1.1 ","
6.0 ","
6.7 ","
88 "
Кабачок замороженный,"
0.6 ","
0.3 ","
4.7 ","
21 "
Кабачок консервированный,"
0.4 ","
0.1 ","
4.9 ","
22 "
Кабачок сушеный,"
8.5 ","
4.3 ","
65.2 ","
340 "
Каперсы,"
0.8 ","
0.1 ","
2.6 ","
14 "
Каперсы консервированные,"
2.4 ","
0.9 ","
1.7 ","
24 "
Каперсы маринованные,"
2.4 ","
0.9 ","
1.7 ","
24 "
Капуста белокочанная,"
1.8 ","
0.1 ","
4.7 ","
27 "
Капуста белокочанная жареная,"
1.8 ","
2.8 ","
4.2 ","
49 "
Капуста белокочанная сушеная,"
15.0 ","
1.4 ","
48.0 ","
278 "
Капуста брокколи,"
3.0 ","
0.4 ","
5.2 ","
28 "
Капуста брокколи 4 сезона,"
2.5 ","
0.3 ","
4.6 ","
31 "
Капуста брокколи Hortex,"
2.7 ","
0.4 ","
2.4 ","
29 "
Капуста брокколи Бондюэль замороженная,"
2.7 ","
0.1 ","
4.9 ","
23 "
Капуста брокколи варёная,"
3.0 ","
0.4 ","
4.0 ","
27 "
Капуста брокколи замороженная,"
2.7 ","
0.4 ","
4.7 ","
24 "
Капуста брюссельская,"
4.8 ","
0.0 ","
8.0 ","
43 "
Капуста брюссельская 4 сезона,"
4.8 ","
0.3 ","
3.1 ","
36 "
